Order ID,Order No,Customer Name,Email,Phone,Status,Channel,Store No,Order Date,Total Amount,Payment Status,Payment Method,Order Type,SLA Status,Items Count
ORD-0004,ORD-0004,Customer 4,customer4@example.com,+66721353892,SUBMITTED,Tops Online,STR-6102,"01/06/2026, 13:54:00",1041.60,FAILED,CREDIT_CARD,PICKUP,On Track,5
ORD-0006,ORD-0006,Customer 6,customer6@example.com,+66593223444,SUBMITTED,Tops Online,STR-3330,"01/08/2026, 14:33:00",350.64,PENDING,QR_CODE,DELIVERY,On Track,2
ORD-0013,ORD-0013,Customer 13,customer13@example.com,+66657885002,SUBMITTED,Tops Online,STR-9987,"01/10/2026, 21:55:00",381.31,PENDING,CASH,DELIVERY,On Track,1
ORD-0018,ORD-0018,Customer 18,customer18@example.com,+66957082213,SUBMITTED,ShopeeFood,STR-2870,"01/11/2026, 22:29:00",747.16,FAILED,CASH,PICKUP,On Track,4
ORD-0020,ORD-0020,Customer 20,customer20@example.com,+66116958131,SUBMITTED,ShopeeFood,STR-8155,"01/07/2026, 01:21:00",688.08,PENDING,CREDIT_CARD,PICKUP,Breach,2
ORD-0024,ORD-0024,Customer 24,customer24@example.com,+66305170265,SUBMITTED,LINE MAN,STR-4542,"01/06/2026, 04:02:00",1026.06,FAILED,CASH,DELIVERY,On Track,3
ORD-0026,ORD-0026,Customer 26,customer26@example.com,+66577007246,SUBMITTED,FoodDelivery,STR-5884,"01/10/2026, 07:19:00",678.22,FAILED,CREDIT_CARD,DELIVERY,On Track,5
ORD-0033,ORD-0033,Customer 33,customer33@example.com,+66971226877,SUBMITTED,FoodDelivery,STR-3136,"01/08/2026, 05:03:00",1295.13,PAID,CASH,DELIVERY,On Track,5
ORD-0035,ORD-0035,Customer 35,customer35@example.com,+66121236727,SUBMITTED,Tops Online,STR-1082,"01/11/2026, 04:56:00",106.10,FAILED,CASH,DELIVERY,On Track,1
ORD-0036,ORD-0036,Customer 36,customer36@example.com,+66776970397,SUBMITTED,LINE MAN,STR-8776,"01/06/2026, 08:56:00",945.28,FAILED,QR_CODE,PICKUP,Breach,5
ORD-0044,ORD-0044,Customer 44,customer44@example.com,+66188544252,SUBMITTED,Tops Online,STR-9466,"01/06/2026, 18:26:00",1148.10,PAID,QR_CODE,DELIVERY,On Track,4
ORD-0047,ORD-0047,Customer 47,customer47@example.com,+66979678578,SUBMITTED,LINE MAN,STR-1153,"01/10/2026, 11:01:00",790.70,PAID,WALLET,DELIVERY,On Track,3
ORD-0053,ORD-0053,Customer 53,customer53@example.com,+66754838296,SUBMITTED,FoodDelivery,STR-3733,"01/11/2026, 01:58:00",242.60,PAID,WALLET,DELIVERY,On Track,2
ORD-0071,ORD-0071,Customer 71,customer71@example.com,+66527649254,SUBMITTED,FoodDelivery,STR-9661,"01/07/2026, 07:31:00",450.62,PAID,CREDIT_CARD,DELIVERY,Breach,3
ORD-0075,ORD-0075,Customer 75,customer75@example.com,+66994758109,SUBMITTED,Tops Online,STR-3097,"01/07/2026, 17:17:00",748.60,PENDING,QR_CODE,PICKUP,Breach,3
ORD-0083,ORD-0083,Customer 83,customer83@example.com,+66719645467,SUBMITTED,LINE MAN,STR-1314,"01/07/2026, 03:05:00",185.21,PAID,QR_CODE,PICKUP,On Track,2
ORD-0093,ORD-0093,Customer 93,customer93@example.com,+66163152708,SUBMITTED,FoodDelivery,STR-9523,"01/11/2026, 19:08:00",455.55,FAILED,CREDIT_CARD,PICKUP,On Track,3
ORD-0103,ORD-0103,Customer 103,customer103@example.com,+66209040238,SUBMITTED,FoodDelivery,STR-1596,"01/07/2026, 19:56:00",1538.06,PENDING,QR_CODE,PICKUP,On Track,5
ORD-0119,ORD-0119,Customer 119,customer119@example.com,+66795983677,SUBMITTED,ShopeeFood,STR-7627,"01/06/2026, 16:02:00",398.99,FAILED,CASH,DELIVERY,Near Breach,1
ORD-0134,ORD-0134,Customer 134,customer134@example.com,+66286236480,SUBMITTED,LINE MAN,STR-3354,"01/10/2026, 09:44:00",298.82,PENDING,CASH,PICKUP,Breach,2
